",Tanggal,Pengguna,Tweet,"
"126,11/12/2022 14:52,UnaPutriiyy,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"127,11/12/2022 14:52,DefaraYenny,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"128,11/12/2022 14:52,HanaPutttrr01,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"129,11/12/2022 14:52,KeilaOkta,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"130,11/12/2022 14:51,DinaTaniiyy,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"131,11/12/2022 14:51,dindamahar11,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"132,11/12/2022 14:50,wulan_nadira,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"133,11/12/2022 14:50,IntanPutrrrt,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"134,11/12/2022 14:49,MawaraniNadia,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"135,11/12/2022 14:49,ErnyTalia,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"136,11/12/2022 14:49,MLindazahra,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"137,11/12/2022 14:49,HaniaWirda,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"138,11/12/2022 14:48,TaniaGea3,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"139,11/12/2022 14:48,LaniAulia3,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"140,11/12/2022 14:47,ErniPutrry,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"141,11/12/2022 14:47,MandaAyyyyyu,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"142,11/12/2022 14:47,FiyaTalita,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"143,11/12/2022 14:46,SaniaOktavia17,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"144,11/12/2022 14:46,RayaAmalia10,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"145,11/12/2022 14:46,ZahiraAmelia6,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"146,11/12/2022 14:45,yunia_fania,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"147,11/12/2022 14:45,RianaOlla,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"148,11/12/2022 14:45,LiantiAyu2,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"149,11/12/2022 14:45,PritaLaila,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"150,11/12/2022 14:45,DewiUlfayyy6,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"151,11/12/2022 14:45,DaniaAmanda20,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"152,11/12/2022 14:45,IndahJihan4,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"153,11/12/2022 14:45,DianLiana13,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"154,11/12/2022 14:42,SarahYunia9,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"155,11/12/2022 14:42,SintaFahira11,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"156,11/12/2022 14:42,HaniahUtaro,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"157,11/12/2022 14:41,SantiUtari6,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"158,11/12/2022 14:41,IndahUtrrr,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"159,11/12/2022 14:41,SaskiaAmaliayyy,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"160,11/12/2022 14:40,OllaHaniah,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"161,11/12/2022 14:40,NandiaGia,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"162,11/12/2022 14:40,MalaPuspita13,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"163,11/12/2022 14:39,LindaAmaallly,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"164,11/12/2022 14:39,DianYunia8,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"165,11/12/2022 14:38,DewiLetrr,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"166,11/12/2022 14:38,DelishaNina,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"167,11/12/2022 14:38,HamidahAryana,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"168,11/12/2022 14:37,FathinahIshana,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"169,11/12/2022 14:37,utari_wirda,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"170,11/12/2022 14:36,AminahYanti1,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"171,11/12/2022 14:36,HasanainYoga,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"172,11/12/2022 14:36,ZahraAmliyy,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"173,11/12/2022 14:35,wiratama_fauzi,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"174,11/12/2022 14:35,DitaAyuyyy,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"175,11/12/2022 14:35,dndtirani,Hanya 3 Bintang Dua Inilah Alumni Akpol 92 yang Berpeluang Ganti Jenderal Listyo Sigit Prabowo Jadi Kapolri Jokowi GOAT Cebong Kaesang Nehyan Anak Medan Messi Minggu Jan Ethes Naughty Wuhan Brazil FIFAWorldCup JokowiBikinTekor AniesPresiden2024,Negatif"
"176,11/12/2022 14:34,DinaAmlly,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"177,11/12/2022 14:34,AryadikaIan,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"178,11/12/2022 14:33,AndraMaheswar,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"179,11/12/2022 14:33,PutriSabllaa,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"180,11/12/2022 14:33,setyawan_zaki,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"181,11/12/2022 14:33,DaniaAmelia18,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"182,11/12/2022 14:33,MelvianoRandy,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"183,11/12/2022 14:33,AlfaFernand,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"184,11/12/2022 14:32,SellyPutrr,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"185,11/12/2022 14:32,RafisqySandya,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"186,11/12/2022 14:32,IrfanMaulagih,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"187,11/12/2022 14:31,NadaJihan4,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"188,11/12/2022 14:31,ArhanSayudha,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"189,11/12/2022 14:31,AryanaPutri13,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"190,11/12/2022 14:31,AkbarHermansy,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"191,11/12/2022 14:30,ViaAmanll,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"192,11/12/2022 14:30,YusrilZulfadli,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"193,11/12/2022 14:30,keisha_killa,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"194,11/12/2022 14:29,AdibrataMarvin,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"195,11/12/2022 14:29,nandia_rara,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"196,11/12/2022 14:29,AdhinataBisma,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"197,11/12/2022 14:29,AndikaDiputer,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"198,11/12/2022 14:28,NamiraPttt,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"199,11/12/2022 14:28,HadziqPranaja,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"200,11/12/2022 14:28,PanjiWard,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"201,11/12/2022 14:28,DaniraDinda,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"202,11/12/2022 14:27,WisnuHerdiano,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"203,11/12/2022 14:27,Mrsarmentos,Tolong pecat dengan tidak hormat anak buah anda kapolri karena sangat banyak maling di instansi anda masak kami yg gaji kalian kalian buat gini 70 polisi dia aceh pemakai narkoba RI RI Polri TNI usut ya,Positif"
"204,11/12/2022 14:27,gira_una,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"205,11/12/2022 14:27,bekti_ismanto,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"206,11/12/2022 14:26,YunaNurdiani,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"207,11/12/2022 14:26,NazhiefP,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"208,11/12/2022 14:26,RianPertamax,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"209,11/12/2022 14:26,AryasatyaSafiq,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"210,11/12/2022 14:26,hanah_tania,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Netral"
"211,11/12/2022 14:26,dndtirani,Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya Jokowi GOAT Cebong Kaesang Nehyan Anak Medan Messi Minggu Jan Ethes Naughty Wuhan Brazil FIFAWorldCup JokowiBikinTekor AniesPresiden2024,Positif"
"212,11/12/2022 14:25,RHeliyana,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"213,11/12/2022 14:25,IFathlani,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"214,11/12/2022 14:25,YuniaBintang,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG dn ERINA,Positif"
"215,11/12/2022 14:24,RizqyAndikeh,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"216,11/12/2022 14:24,maheswari_kyra,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"217,11/12/2022 14:24,RaniaFirda13,KAPOLRI PASTIKAN KEAMANAN sluruh RANGKAIAN PERNIKAHAN KAESANG n ERINA,Netral"
"218,11/12/2022 14:24,FauzanWibowow,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"219,11/12/2022 14:24,AyanaGeralda,KAPOLRI APRESIASI SINERGITAS TNI POLRI JAGA KEAMANAN RESEPSI KAESANG ERINA,Netral"
"220,11/12/2022 14:23,LaniYuika,KAPOLRI PASTIKAN KEAMANAN seluiruh RANGKAIAN PERNIKAHAN KAESANG amp ERINA,Netral"
"221,11/12/2022 14:23,GitaIntan11,KAPOLRI PASTIKAN KEAMANAN SELURUH RANGKAIAN PERNIKAHAN KAESANG DAN ERINA,Positif"
"222,11/12/2022 14:16,Yudi130272,Polri Tapi kenapa bapak Kapolri dlm jumpa pers yang menyebut namanya Agus Muslim Itu nama panggilan bkn,Netral"
"223,11/12/2022 13:57,azizahf211,Polri siapkan penjemputan WNI korban penyekapan di Kamboja BRAVO POLRI presisi polri fyp Bandung 34 WNI korban penyekapan perusahaan online scam di Kamboja sudah dibebaskan otoritas setempat Kapolri juga sudah siapkan penjemputan,Netral"
"224,11/12/2022 13:55,alhusaini_asror,Polri Siap mendukung Kapolri menuntaskan radikalisme di Indonesia,Positif"
"225,11/12/2022 13:50,H5Hadi,Kapolri siapkan penjemputan WNI korban penyekapan di Kamboja BRAVO POLRI presisi polri fyp Bandung 34 WNI korban penyekapan perusahaan online scam di Kamboja sudah dibebaskan otoritas setempat Kapolri juga sudah siapkan penjemputan,Netral"
"226,11/12/2022 13:34,susipudjiastuti,Alhamdulillah hari ini bisa menghadiri acara Kaesang dan bertemu Pak Mensetneg dan Pak Kapolri,Positif"
"227,11/12/2022 13:23,NTMC_Info,Polri Irjen Pol Firman Shantyabudi mendampingi Kapolri Jenderal Listyo Sigit Prabowo memantau beberapa titik ruas jalan prosesi acara pernikahan putra Bungsu Presiden RI StopPelanggaranStopKecelakaanKeselamatanUntukKemanusiaan,Positif"
"228,11/12/2022 12:59,Raja378Raja3781,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"229,11/12/2022 12:58,Wihardi41212808,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo menjenguk korban peristiwa bom bunuh diri Polripresisi poldasumsel Kapoldasumsel polresbanyuasin polisibanyuasin kapolresbanyuasin satbinmasPolresbanyuasin quickwinspresisipolresbanyuasin,Netral"
"230,11/12/2022 12:58,JuarsyahZed,POLSEK MESUJI MAKMUR Hadir tengah tengah masyrakat untuk memberikan rasa nyaman dan aman kepada masyarakat mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel,Netral"
"231,11/12/2022 12:57,JuarsyahZed,POLSEK MESUJI MAKMUR Melihat ketahanan pangan mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel akpol2001 salamtribrata,Netral"
"232,11/12/2022 12:57,sekklk,SURAKARTA Kapolri Jenderal Listyo Sigit Prabowo mengapresiasi sinergi Polri TNI masyarakat serta para pihak terkait lainnya dalam menjaga keamanan dan ketertiban selama prosesi pernikahan putra bungsu Presiden Jokowi Kaesang Pangarep dan Erina Gudono,Positif"
"233,11/12/2022 12:56,OposisiCerdas,Hanya 3 Bintang Dua Inilah Alumni Akpol 92 yang Berpeluang Ganti Jenderal Listyo Sigit Prabowo Jadi Kapolri,Positif"
"234,11/12/2022 12:53,Wihardi41212808,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo WA 081370002110 Polda Sumsel Polripresisi poldasumsel Kapoldasumsel polresbanyuasin polisibanyuasin kapolresbanyuasin satbinmasPolresbanyuasin quickwinspresisipolresbanyuasin,Positif"
"235,11/12/2022 12:52,heraldindo,Kapolri Kenakan Beskap Jawa Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"236,11/12/2022 12:42,h3rm4nkoplak,Gk trimo ngundang presiden mentri kapolri panglima tni yo di undang Jane gawe dukun endi yo,Netral"
"237,11/12/2022 12:42,naufalprdty,Bokap gua ke kondangan anak kapolri pake MC ama live music MCnya Choky Sitohang ama Yuni Shara vokalis live musicnya Judika anjir,Positif"
"238,11/12/2022 12:37,KilatNusantara,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"239,11/12/2022 12:36,Ebit357901721,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo Saat meninjau Polsek Astana Anyar pasca bom bunuh diri Mari Bersama Lawan Radikalisasi dan bersama BasmiTeror,Netral"
"240,11/12/2022 12:28,newsmerahputih,Kapolri memastikan warga Solo masih bisa beraktivitas dengan adanya acara ngunduh mantu Kaesang merahputihcom Solo Kaesang Erina kaesangerina,Netral"
"241,11/12/2022 12:11,gg_tonni,Menurut saya itu kritik yg cerdas amp berani Bahkan lebih berani dari DPR Mari kita instrospeksi bener gak kritikan itu Saya dengar Kapolri mengeluarkan larangan gaya hidup hedonisme utk Polisi Tujuannya sama cara ngomongnya beda,Positif"
"242,11/12/2022 11:55,TmcWonogiri,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"243,11/12/2022 11:54,adi_fir,Pak Kapolri Pak Polri Tlg akun seperti ini yg jelas menyebarkan hoax fitnah dan kebencian diawasi jgn narasi kebohobgan seperti ini dibiarkan,Positif"
"244,11/12/2022 11:36,manda7773,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo menjenguk korban peristiwa bom bunuh diri Mapolsek Astana Anyar di Rumah Sakit Immanuel Bandung Jawa Barat poldasumsel Kapoldasumsel polresbanyuasin kapolresbanyuasin quickwinspresisipolresbanyuasin,Netral"
"245,11/12/2022 11:14,humaspolressml,Monitoring Segala Bentuk Giat Masyarakat Personil Polsek Tanah Jawa Bersama Anggota TNI Koramil 10 Balimbingan Gelar Patroli Gabungan polripresisi polisiindonesia listyosigitprabowo divisihumaspolri poldasumut poldasumutpresisi kapoldasumut,Negatif"
"246,11/12/2022 11:12,humaspolressml,Polisi Polres Simalungun Tingkatkan Patroli Skala Besar Bersama TNI Kodim Simalungun polripresisi polisiindonesia listyosigitprabowo divisihumaspolri poldasumut poldasumutpresisi kapoldasumut humaspoldasumut polressimalungun Simalungun sumut,Positif"
"247,11/12/2022 11:08,humaspolressml,Minggu 11 Desember 2022 pukul 09 30 Wib personil Polsek Parapat melaksanakan PAM ibadah Gereja GKPS Parapat Jln Pendidikan Kel Parapat berkordinasi dengan pengurus gereja polripresisi polisiindonesia listyosigitprabowo divisihumaspolri poldasumut poldasumutpresisi,Netral"
"248,11/12/2022 11:08,thehenrisaputro,abimanyu Baru ini menemukan aparat kepolisian menjelaskan sebuah pandangan satu kasus dengan alur akademik dengan genuine macam ini Semoga sukses mas Semoga jadi Kapolri satu saat nanti,Positif"
"249,11/12/2022 11:04,Humas_Karsa,Pengurusan izin keramaian warga Jagakarsa saat ini bisa melalui Bhabinkamtibmas tanpa hrs dtang kekantor polsek Jgkrs Sesuai dengan Juklap Kapolri No Pol Juklap 02 XII 1995 Tahun 1995 Tentang Perijinan amp Pemberitahuan Kegiatan Masyarakat Pelayanan tdk dipungut Biaya,Positif"
"250,11/12/2022 11:03,ansorunajatim,Kelakuan oknom berseragam yg kalo dibiarkan akan dibungkam ayo bersuara jangan mau diintimidasi poldajatim kapolri,Positif"
"251,11/12/2022 11:03,humaspolressml,Wakapolres Simalungun KOMPOL Efianto SH bersama para PJU dan Kapolsek jajaran Polres Simalungun mengikuti Kegiatan Penutupan Anev Kamtibmas Triwulan III Polda Sumut dan Jajaran Secara Virtual dengan Aplikasi Zoom Meeting polripresisi polisiindonesia listyosigitprabowo,Netral"
"252,11/12/2022 10:54,hangjebat_007,Bandung 34 WNI korban penyekapan perusahaan online scam di Kamboja sudah dibebaskan otoritas setempat Kapolri juga sudah siapkan penjemputan,Netral"
"253,11/12/2022 10:33,Budijambi07,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo memerintahkan kepada seluruh tim dan satgas untuk segera bergerak Polripresisi poldasumsel Kapoldasumsel polresbanyuasin kapolresbanyuasin satbinmasPolresbanyuasin quickwinspresisipolresbanyuasin,Netral"
"254,11/12/2022 10:13,detikcom,Anggota Komisi III DPR Fraksi Gerindra Habiburokhman mengapresiasi langkah Kapolri Jenderal Sigit menyelamatkan 34 WNI korban online scam di Kamboja,Positif"
"255,11/12/2022 10:13,newmindarmy45,Hanya 3 Bintang Dua Inilah Alumni Akpol 92 yang Berpeluang Ganti Jenderal Listyo Sigit Prabowo Jadi Kapolri newmind beritaterkini kabarterbaru trending fyp news,Positif"
"256,11/12/2022 10:05,Budijambi07,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo korban peristiwa bom bunuh diri Mapolsek Astana Anyar di Rumah Sakit Immanuel Bandung Polripresisi poldasumsel Kapoldasumsel polresbanyuasin kapolresbanyuasin quickwinspresisipolresbanyuasin,Netral"
"257,11/12/2022 09:49,bayu_oktriandi,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo menjenguk korban peristiwa bom bunuh diri Mapolsek Astana Anyar di Rumah Sakit Immanuel Bandung Jawa Barat Rabu 7 12 Dalam kunjungannya Kapolri menyempatkan berbincang kepada para korban,Positif"
"258,11/12/2022 09:26,Du70616351,Jgn suka bawa bawa nama rakyat Kami setuju kinerja kapolri dlm bertugas,Netral"
"259,11/12/2022 09:25,polsek_mungkid,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"260,11/12/2022 09:22,siwasresmgl3,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"261,11/12/2022 09:18,Ridaf19,Ketua KPK Jaksa agung dan KAPOLRI bukan orang orang bodoh seperti kamu yg nggak paham situasi dan kondisi politik yg berkembang saat ini Bro,Positif"
"262,11/12/2022 09:15,GoSumbarcom,Unggah Foto Pengamanan Akad Nikah Kaesang Kapolri Digeprek Warganet Penting Banget Ya,Positif"
"263,11/12/2022 09:14,GoRiauCom,Unggah Foto Pengamanan Akad Nikah Kaesang Kapolri Digeprek Warganet Penting Banget Ya,Positif"
"264,11/12/2022 08:46,ibnupurna,Masukan untuk Kapolri dan Menko,Netral"
"265,11/12/2022 08:46,anisanbl12,Sudah keterlaluan Kamaruddin dalam berbicara ini menuduh semua anggota Polri mengabdi kepada mafia pak harus tindak sih ini memfitnah institusi polri mana nih,Negatif"
"266,11/12/2022 08:43,yaminmoha_,Meninjau progres pembangunan POS KAMLING di Jl Sapta Marga RT002 RW001 kapolresgorontalokota polresgorontalokota divisihumaspolri listyosigitprabowo polripresisi bhabinkamtibmas kapolri poldagorontalo PosKamling pol,Netral"
"267,11/12/2022 08:36,cakranewsonline,34 WNI Korban Penyekapan Sudah Bebas Kapolri Siapkan Penjemputan infointernational infopekerjamigran wnidisekap wnikamboja,Positif"
"268,11/12/2022 08:32,IlHam47733244,Dua personel Bhabinkamtibmas yang bertugas di Polsek Simeulue Timur yang bekerja sama dengan masyarakat telah menyiapkan lahan seluas 12 hektar aceh rahmansyah2002 peureulak barat kapolri kapoldaaceh kapolresacehtimur polsekpeureulakbarat,Netral"
"269,11/12/2022 08:28,RatnoWistu,Acara Ngunduh Mantu Pernikahan Kaesang Erina Kapolri Terima Kasih untuk yang Bertugas,Netral"
"270,11/12/2022 08:20,geloraco,Hanya 3 Bintang Dua Inilah Alumni Akpol 92 yang Berpeluang Ganti Jenderal Listyo Sigit Prabowo Jadi Kapolri,Positif"
"271,11/12/2022 08:18,humasmuratara1,HUMAS POLRES MURATARA indonesia humaspolri sumsel poldasumsel ri divisihumaspolri multimediapoldasumsel polripresisi PolisiDulurKito kapolri poldasumsel kapoldasumsel,Netral"
"272,11/12/2022 08:18,humasmuratara1,HUMAS POLRES MURATARA indonesia humaspolri sumsel poldasumsel ri divisihumaspolri multimediapoldasumsel polripresisi PolisiDulurKito kapolri poldasumsel kapoldasumsel,Netral"
"273,11/12/2022 08:18,humasmuratara1,HUMAS POLRES MURATARA indonesia humaspolri sumsel poldasumsel ri divisihumaspolri multimediapoldasumsel polripresisi PolisiDulurKito kapolri poldasumsel kapoldasumsel,Netral"
