Tweet,Sentimen
"['salut', 'kepala kepolisian republik indonesia', 'jend', 'pol', 'listyo', 'sigit', 'prabowo', 'jajaran', 'mengenal', 'istirahat']",Positif
"['hatimu', 'kepala kepolisian republik indonesia', 'lanjutkan', 'salah', 'serasa', 'tabu', 'lihat', 'undang undang', 'kepolisian', 'pertontonkan', 'pejabat', 'menyuruh', 'menyuruh', 'polisi', 'pengamanan', 'pernikahan', 'terukur', 'diukur', 'hemat', 'anggaran', 'negeri', 'urang']",Negatif
"['sekelas', 'kepala kepolisian republik indonesia', 'berkelas', 'berantas', 'mafia', 'tambang']",Positif
"['maaf', 'kepala kepolisian republik indonesia', 'kepolisian republik indonesia', 'berkali kali', 'melaporkan', 'balap', 'liar', 'stadion', 'gbla', 'polisi', 'tindakan', 'presisi', 'terukur', 'ya', 'marak', 'knalpot', 'bising', 'balapan', 'liar', 'dilempar', 'batu', 'mahalini', 'paha', 'anya', 'kaesang', 'wartawan']",Negatif
"['salah', 'sampean', 'mas', 'sepenuhnya', 'melayani', 'sesuai', 'prosedur', 'terukur', 'terarah', 'presisi', 'sesuai', 'sop', 'janji', 'kepala kepolisian republik indonesia', 'uji', 'kelayaakn', 'dewan perwakilan rakyat', 'urus', 'pelayanan', 'dipolisi', 'secepat', 'restoran', 'cepat', 'saji']",Positif
"['kepolisian republik indonesia', 'kepala kepolisian republik indonesia', 'semoga', 'sehat', 'sukses', 'bravo', 'kepolisian republik indonesia']",Positif
"['febri', 'sih', 'kepala kepolisian republik indonesia', 'berbicara', 'mengotot', 'kasihan', 'lepas', 'juru bicara', 'downgrade', 'sadar', 'febri', 'mempermalukan', 'kepala kepolisian republik indonesia']",Negatif
"['membaca', 'alinea', 'lunglai', 'kondisi', 'netralisasi', 'pernyataan', 'bikin', 'video', 'viral', 'berdata', 'berbacking', 'strong', 'mending', 'diam', 'publik', 'paham']",Negatif
"['bantu', 'kepala kepolisian republik indonesia', 'warga', 'ketakutan']",Positif
"['yang terhormat', 'tolong', 'rakyat', 'tanahnya', 'dirampas', 'masuk', 'dilarang', 'satpam', 'mohon', 'keadilan', 'rakyat', 'solusi', 'terbaik', 'cepat', 'fkmti', 'puluhan', 'ribu', 'lapor', 'fkmti', 'buka', 'warkah', 'dikawal', 'media', 'televisi', 'solusi', 'terbaik', 'cepat', 'surat pemberitahuan tahunan', '100thn', 'beres']",Negatif
"['kepala kepolisian republik indonesia', 'bantu', 'kemana', 'melapor', 'mafialahan', 'mafiasawit']",Positif
"['berani', 'berkhianat', 'polisi', 'tentara nasional indonesia', 'menghajar', 'rakyat', 'protes', 'kuasai', 'polisi', 'tentara nasional indonesia', 'mantan', 'mantan', 'kasad', 'panglima', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'jadikan', 'pejabat', 'pensiun', 'silakan', 'cek']",Negatif
"['mantap', 'kepala kepolisian republik indonesia', 'sigap', 'berwibawa', 'semoga', 'acara', 'pernikahan', 'putra', 'ketiga', 'presiden', 'berjalan', 'lancar', 'aman', 'mas', 'mbak', 'erina', 'samawa', 'maut', 'memisahkan', 'amin']",Positif
"['prabowo', 'nya', 'menhan', 'gagah', 'perkasa', 'kepala kepolisian republik indonesia', 'santun', 'luwes', '']",Positif
